date,rank,album,artist
2025-11-01,1,The Life Of A Showgirl,Taylor Swift
2025-11-01,2,KPop Demon Hunters,Soundtrack
2025-11-01,3,I'm The Problem,Morgan Wallen
2025-11-01,4,Deadbeat,Tame Impala
2025-11-01,5,Man's Best Friend,Sabrina Carpenter
2025-11-01,6,Am I The Drama?,Cardi B
2025-11-01,7,The Art Of Loving,Olivia Dean
2025-11-01,8,SOS,SZA
2025-11-01,9,One Thing At A Time,Morgan Wallen
2025-11-01,10,"You'll Be Alright, Kid",Alex Warren
2025-11-01,11,Debi Tirar Mas Fotos,Bad Bunny
2025-11-01,12,Stick Season,Noah Kahan
2025-11-01,13,So Close To What,Tate McRae
2025-11-01,14,Short n' Sweet,Sabrina Carpenter
2025-11-01,15,Hit Me Hard And Soft,Billie Eilish
2025-11-01,16,Dangerous: The Double Album,Morgan Wallen
2025-11-01,17,I Barely Know Her,sombr
2025-11-01,18,MASA,YoungBoy Never Broke Again
2025-11-01,19,Rumours,Fleetwood Mac
2025-11-01,20,Take Care,Drake
2025-11-01,21,30 Number One Hits,Jason Aldean
2025-11-01,22,Hamilton: An American Musical,Original Broadway Cast
2025-11-01,23,The Tortured Poets Department,Taylor Swift
2025-11-01,24,Un Verano Sin Ti,Bad Bunny
2025-11-01,25,Swag,Justin Bieber
2025-11-01,26,+-=÷x (Tour Collection),Ed Sheeran
2025-11-01,27,The Last Wun,Gunna
2025-11-01,28,$ome $exy $ongs 4 U,PARTYNEXTDOOR & Drake
2025-11-01,29,The Rise And Fall Of A Midwest Princess,Chappell Roan
2025-11-01,30,$ad Boyz 4 Life II,Junior H
2025-11-01,31,"Where I've Been, Isn't Where I'm Going",Shaboozey
2025-11-01,32,GNX,Kendrick Lamar
2025-11-01,33,111XPANTIA,Fuerza Regida
2025-11-01,34,Beautiful Chaos (EP),KATSEYE
2025-11-01,35,Folklore,Taylor Swift
2025-11-01,36,MUSIC,Playboi Carti
2025-11-01,37,Curtain Call: The Hits,Eminem
2025-11-01,38,Submarine,The Marias
2025-11-01,39,MAYHEM,Lady Gaga
2025-11-01,40,Diamonds,Elton John
2025-11-01,41,I Hope You're Happy,BigXthaPlug
2025-11-01,42,The Secret Of Us,Gracie Abrams
2025-11-01,43,Child Of God II,Forrest Frank
2025-11-01,44,American Heartbreak,Zach Bryan
2025-11-01,45,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival
2025-11-01,46,Thriller,Michael Jackson
2025-11-01,47,Views,Drake
2025-11-01,48,God Does Like Ugly,JID
