date,rank,song,artist,last_week,peak_position,weeks_on_chart
2025-11-01,1,The Fate Of Ophelia,Taylor Swift,1,1,3
2025-11-01,2,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",3,1,18
2025-11-01,3,Ordinary,Alex Warren,4,1,37
2025-11-01,4,Opalite,Taylor Swift,2,2,3
2025-11-01,5,Elizabeth Taylor,Taylor Swift,5,3,3
2025-11-01,6,Father Figure,Taylor Swift,6,4,3
2025-11-01,7,Daisies,Justin Bieber,15,2,15
2025-11-01,8,Man I Need,Olivia Dean,17,8,9
2025-11-01,9,I Got Better,Morgan Wallen,16,7,23
2025-11-01,10,Mutt,Leon Thomas,18,10,38
2025-11-01,11,Wi$h Li$t,Taylor Swift,7,6,3
2025-11-01,12,The Life Of A Showgirl,Taylor Swift Featuring Sabrina Carpenter,9,8,3
2025-11-01,13,Wood,Taylor Swift,8,5,3
2025-11-01,14,Folded,Kehlani,21,14,19
2025-11-01,15,Actually Romantic,Taylor Swift,10,7,3
2025-11-01,16,It Depends,Chris Brown Featuring Bryson Tiller,31,16,13
2025-11-01,17,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",20,4,18
2025-11-01,18,Back To Friends,sombr,24,18,30
2025-11-01,19,Cancelled!,Taylor Swift,11,10,3
2025-11-01,20,Eldest Daughter,Taylor Swift,12,9,3
2025-11-01,21,What I Want,Morgan Wallen Featuring Tate McRae,22,1,23
2025-11-01,22,Ruin The Friendship,Taylor Swift,13,11,3
2025-11-01,23,Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",19,3,17
2025-11-01,24,Love Me Not,Ravyn Lenae,23,5,30
2025-11-01,25,Manchild,Sabrina Carpenter,26,1,20
2025-11-01,26,Honey,Taylor Swift,14,12,3
2025-11-01,27,Tears,Sabrina Carpenter,29,3,8
2025-11-01,28,How It's Done,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",25,8,17
2025-11-01,29,Tit For Tat,Tate McRae,27,3,4
2025-11-01,30,Mystical Magical,Benson Boone,28,17,26
2025-11-01,31,What It Sounds Like,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",30,15,17
2025-11-01,32,Back In The Saddle,Luke Combs,34,32,13
2025-11-01,33,Dracula,Tame Impala,59,33,4
2025-11-01,34,Takedown,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",32,21,17
2025-11-01,35,Free,Rumi & JINU: EJAE & Andrew Choi,33,23,17
2025-11-01,36,Yukon,Justin Bieber,36,17,15
2025-11-01,37,Burning Blue,Mariah the Scientist,35,25,25
2025-11-01,38,Pixelated Kisses,Joji,90,38,2
